,TASK 4,4.7  Find out total calories burned by each user from given data.,,,,,,
,,,,,,,,
Row Labels,Sum of Calories per user,,,,,,,
1503960366,56309,,,,,,,
1624580081,45984,,,,,,,
1644430081,84339,,,,,,,
1844505072,48778,,,,,,,
1927972279,67357,,,,,,,
2022484408,77809,,,,,,,
2026352035,47760,,,,,,,
2320127002,53449,,,,,,,
2347167796,36782,,,,,,,
2873212765,59426,,,,,,,
3372868164,38662,,,,,,,
3977333714,45410,,,,,,,
4020332650,73960,,,,,,,
4057192912,7895,,,,,,,
4319703577,63168,,,,,,,
4388161847,95910,,,,,,,
4445114986,67772,,,,,,,
4558609924,63031,,,,,,,
4702921684,91932,,,,,,,
5553957443,58146,,,,,,,
5577150313,100789,,,,,,,
6117666160,63312,,,,,,,
6290855005,75389,,,,,,,
6775888955,55426,,,,,,,
6962181067,61443,,,,,,,
7007744171,66144,,,,,,,
7086361926,79557,,,,,,,
8053475328,91320,,,,,,,
8253242879,33972,,,,,,,
8378563200,106534,,,,,,,
8583815059,84693,,,,,,,
8792009665,56907,,,,,,,
8877689391,106028,,,,,,,
(blank),,,,,,,,
Grand Total,2165393,,,,,,,
